run_id,runhash,stage,slug,type,git_commit,git_dirty,created_utc,status,tag
T0-tune_operating_point__20260714-052328__smoke__g14795e5__wiring,b676f16b,T0,tune_operating_point,smoke,14795e5,False,2026-07-14T05:23:28.948065+00:00,complete,wiring
T0-tune_operating_point__20260714-165714__exp__g79a9d8d__coarse-scan,6fb923d9,T0,tune_operating_point,exp,79a9d8d,False,2026-07-14T16:57:15.098706+00:00,complete,coarse-scan
T0-tune_operating_point__20260715-033028__exp__gcae6f45__fine-w0-n1000,0ea1af67,T0,tune_operating_point,exp,cae6f45,False,2026-07-15T03:30:28.455321+00:00,complete,fine-w0-N1000
T0-tune_operating_point__20260715-050108__exp__ge927bdb__readout-check-n1000,8d590393,T0,tune_operating_point,exp,e927bdb,False,2026-07-15T05:01:08.243352+00:00,complete,readout-check-N1000
T0-tune_operating_point__20260715-053812__exp__gefee6c4__feature-n1000,86fc8905,T0,tune_operating_point,exp,efee6c4,False,2026-07-15T05:38:12.433989+00:00,complete,feature-N1000
AN-analysis__20260715-065428__exp__g2798ab0__feature-check-models,c31d92ee,AN,analysis,exp,2798ab0,False,2026-07-15T06:54:29.127170+00:00,complete,feature-check-models
AN-analysis__20260715-070650__exp__ged17dc4__feature-check-models,e4094182,AN,analysis,exp,ed17dc4,False,2026-07-15T07:06:50.135536+00:00,complete,feature-check-models
T0-tune_operating_point__20260715-184541__exp__gc50dabe__coarse-w0-skill,ebfc6c67,T0,tune_operating_point,exp,c50dabe,False,2026-07-15T18:45:42.176665+00:00,complete,coarse-w0-skill
T0-tune_operating_point__20260717-205132__exp__g1265f63__gateb0-interpolation,07692cfc,T0,tune_operating_point,exp,1265f63,False,2026-07-17T20:51:32.463783+00:00,complete,gateB0-interpolation
T0-tune_operating_point__20260717-205223__exp__g310724c__gateb0-interpolation,41bfe3fb,T0,tune_operating_point,exp,310724c,False,2026-07-17T20:52:23.227129+00:00,running,gateB0-interpolation
T0-tune_operating_point__20260717-211216__exp__gdd19cd0__gateb0-interpolation,3fc8de49,T0,tune_operating_point,exp,dd19cd0,False,2026-07-17T21:12:16.335255+00:00,failed,gateB0-interpolation
T0-tune_operating_point__20260717-213756__exp__g91f2891__gateb0-interpolation,9112c3f2,T0,tune_operating_point,exp,91f2891,False,2026-07-17T21:37:56.545317+00:00,complete,gateB0-interpolation
E9-evolve__20260718-022622__exp__gb15c3c1__diagnostics,94b4b0ad,E9,evolve,exp,b15c3c1,False,2026-07-18T02:26:22.455838+00:00,complete,diagnostics
E9-evolve__20260718-040319__exp__g16039fd__diagnostics,9e033982,E9,evolve,exp,16039fd,False,2026-07-18T04:03:19.455906+00:00,complete,diagnostics
E9-evolve__20260718-051032__exp__gf82d585__nmda-sweep,6b56b37a,E9,evolve,exp,f82d585,False,2026-07-18T05:10:32.838130+00:00,complete,nmda-sweep
E9-evolve__20260718-053700__exp__ga6d1c98__nmda-sweep,6996df56,E9,evolve,exp,a6d1c98,False,2026-07-18T05:37:00.365276+00:00,complete,nmda-sweep
E9-evolve__20260718-195534__exp__g46960f0__gatea-routing,b4db924a,E9,evolve,exp,46960f0,False,2026-07-18T19:55:35.181871+00:00,complete,gateA-routing
E9-evolve__20260719-220314__exp__g6d7d2d6__dev-convergence-probe,c3e5e84f,E9,evolve,exp,6d7d2d6,False,2026-07-19T22:03:14.954414+00:00,running,dev-convergence-probe
E9-evolve__20260720-050929__exp__g9894167__ceiling-validation,be88269b,E9,evolve,exp,9894167,False,2026-07-20T05:09:29.299342+00:00,complete,ceiling-validation
E9-evolve__20260721-033119__exp__g4786765__step3-pilot,788f0aa6,E9,evolve,exp,4786765,False,2026-07-21T03:31:19.976799+00:00,complete,step3-pilot
